time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,date,precipIntensityMaxTime,precipType,precipAccumulation
1230789600,Mostly cloudy throughout the day.,partly-cloudy-day,1230815968,1230849089,0.17,0.0,0.0,0.0,30.68,1230847200,27.56,1230904800,24.08,1230850800,18.92,1230904800,15.74,0.66,1017.55,8.19,20.56,1230832800,188,0.81,1,1230832800,9.997,17.93,1230789600,31.14,1230868800,9.95,1230793200,24.62,1230872400,2009-01-01,,,
1230876000,Partly cloudy throughout the day.,partly-cloudy-day,1230902370,1230935541,0.2,0.0,0.0,0.0,29.01,1230901200,20.48,1230969600,24.2,1230940800,16.25,1230973200,13.39,0.58,1013.0,5.44,19.01,1230901200,269,0.37,1,1230919200,9.997,20.59,1230955200,30.52,1230876000,18.01,1230912000,24.2,1230940800,2009-01-02,,,
1230962400,Light rain in the morning and overnight.,partly-cloudy-day,1230988771,1231021994,0.24,0.0,0.0,0.0,35.31,1231030800,35.31,1231030800,28.43,1231030800,28.43,1231030800,19.04,0.65,1016.54,6.49,16.46,1231038000,98,0.65,1,1231005600,9.978,20.48,1230969600,36.58,1231045200,16.25,1230973200,30.95,1231045200,2009-01-03,,,
1231048800,Drizzle in the morning.,rain,1231075169,1231108450,0.27,0.0022,0.0301,0.86,37.13,1231074000,13.18,1231160400,37.13,1231074000,5.94,1231149600,25.81,0.79,1017.39,6.93,16.92,1231106400,281,0.81,1,1231092000,6.463,19.02,1231131600,37.67,1231056000,10.56,1231131600,37.5,1231066800,2009-01-04,1231059600.0,rain,
1231135200,Partly cloudy throughout the day.,partly-cloudy-day,1231161565,1231194906,0.31,0.0,0.0,0.0,28.8,1231189200,20.43,1231221600,24.23,1231200000,16.4,1231210800,8.26,0.59,1022.62,4.72,12.53,1231142400,243,0.17,2,1231178400,9.997,13.18,1231160400,28.8,1231189200,5.94,1231149600,24.23,1231200000,2009-01-05,,,
1231221600,Possible flurries overnight.,partly-cloudy-day,1231247958,1231281364,0.34,0.0,0.0006,0.09,30.82,1231275600,28.58,1231326000,29.26,1231290000,23.87,1231336800,21.07,0.8,1006.24,3.41,10.67,1231275600,112,0.82,1,1231264800,6.163,20.43,1231221600,30.82,1231275600,18.51,1231243200,29.26,1231290000,2009-01-06,1231268400.0,,
1231308000,Overcast throughout the day.,snow,1231334349,1231367824,0.38,0.0002,0.0019,0.37,29.09,1231340400,12.47,1231401600,24.43,1231333200,1.24,1231398000,21.09,0.85,995.1,6.41,19.63,1231380000,266,0.97,1,1231351200,4.086,14.64,1231390800,29.09,1231340400,3.11,1231390800,28.94,1231308000,2009-01-07,1231326000.0,snow,0.06
1231394400,Mostly cloudy throughout the day.,partly-cloudy-day,1231420738,1231454285,0.42,0.0,0.0,0.0,22.1,1231448400,14.01,1231484400,13.68,1231452000,10.65,1231466400,9.25,0.73,1010.38,6.24,16.06,1231394400,267,0.39,2,1231437600,9.655,12.47,1231401600,22.1,1231448400,1.24,1231398000,15.27,1231477200,2009-01-08,,,
1231480800,Possible flurries in the morning and overnight.,snow,1231507125,1231540747,0.46,0.0005,0.0067,0.31,28.9,1231534800,28.4,1231596000,22.08,1231534800,19.5,1231596000,18.05,0.8,1018.11,4.75,12.46,1231520400,96,0.86,1,1231524000,6.337,14.01,1231484400,28.9,1231534800,12.5,1231506000,22.87,1231552800,2009-01-09,1231513200.0,snow,0.17
1231567200,Foggy in the morning and afternoon.,snow,1231593509,1231627211,0.5,0.001,0.0027,0.3,28.84,1231603200,17.73,1231682400,21.12,1231603200,15.19,1231664400,24.42,0.89,1018.73,7.92,18.94,1231614000,22,1.0,1,1231610400,3.481,22.35,1231650000,28.84,1231603200,16.13,1231650000,21.86,1231567200,2009-01-10,1231617600.0,snow,0.26
1231653600,Mostly cloudy throughout the day.,cloudy,1231679891,1231713676,0.54,0.0,0.0,0.0,21.6,1231693200,15.32,1231765200,17.79,1231678800,13.75,1231750800,14.59,0.78,1020.44,3.72,10.34,1231696800,257,0.92,1,1231696800,8.504,17.73,1231682400,21.89,1231653600,12.68,1231696800,21.89,1231653600,2009-01-11,,,
1231740000,Foggy in the evening and overnight.,cloudy,1231766271,1231800142,0.58,0.0001,0.0018,0.16,26.42,1231808400,16.11,1231855200,19.76,1231808400,4.39,1231855200,17.38,0.82,1019.28,4.2,10.57,1231779600,197,0.9,1,1231783200,3.944,15.32,1231765200,30.4,1231822800,13.18,1231779600,24.46,1231819200,2009-01-12,1231819200.0,snow,0.02
1231826400,Foggy in the morning.,partly-cloudy-day,1231852649,1231886609,0.61,0.0,0.0,0.0,17.19,1231851600,2.64,1231905600,5.21,1231851600,-4.99,1231902000,5.74,0.7,1019.71,6.98,17.87,1231851600,302,0.56,2,1231869600,8.152,2.64,1231905600,30.73,1231826400,-4.99,1231902000,23.8,1231830000,2009-01-13,,,
1231912800,Foggy in the morning.,cloudy,1231939024,1231973077,0.65,0.0001,0.0008,0.12,15.37,1231963200,-8.0,1232028000,7.69,1231956000,-22.66,1232028000,2.16,0.74,1021.31,6.03,17.57,1231970400,338,0.9,2,1231956000,4.868,3.59,1231995600,15.37,1231963200,-8.13,1231995600,7.69,1231956000,2009-01-14,1231930800.0,snow,0.03
1231999200,Clear throughout the day.,clear-day,1232025398,1232059547,0.68,0.0,0.0,0.0,-3.0,1232046000,-15.96,1232110800,-18.08,1232042400,-28.17,1232110800,-16.04,0.61,1035.97,7.51,13.58,1231999200,279,0.0,2,1232042400,9.975,-11.45,1232078400,1.86,1231999200,-26.96,1232078400,-11.25,1231999200,2009-01-15,,,
