time,summary,icon,sunriseTime,sunsetTime,moonPhase,precipIntensity,precipIntensityMax,precipIntensityMaxTime,precipProbability,precipType,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,dewPoint,humidity,pressure,windSpeed,windGust,windGustTime,windBearing,cloudCover,uvIndex,uvIndexTime,visibility,temperatureMin,temperatureMinTime,temperatureMax,temperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,apparentTemperatureMax,apparentTemperatureMaxTime,date,precipAccumulation
1293861600,Mostly cloudy throughout the day.,rain,1293887965,1293921064,0.92,0.0001,0.002,1293861600.0,0.34,rain,29.6,1293886800,13.54,1293973200,20.65,1293886800,2.23,1293962400,14.74,0.61,1013.46,11.6,24.88,1293904800,250,0.78,1,1293904800,9.997,16.01,1293944400,51.13,1293861600,2.98,1293940800,51.13,1293861600,2011-01-01,
1293948000,Clear throughout the day.,clear-day,1293974369,1294007515,0.96,0.0,0.0,,0.0,,25.63,1294002000,23.01,1294045200,17.33,1294009200,15.0,1294030800,8.62,0.62,1022.79,7.67,16.95,1293948000,239,0.11,2,1293991200,9.997,13.54,1293973200,25.63,1294002000,2.23,1293962400,17.33,1294009200,2011-01-02,
1294034400,Partly cloudy throughout the day.,partly-cloudy-day,1294060771,1294093968,0.99,0.0,0.0,,0.0,,36.39,1294084800,24.55,1294149600,33.29,1294099200,15.01,1294149600,18.93,0.65,1018.58,5.21,15.56,1294081200,215,0.51,1,1294077600,9.997,23.01,1294045200,36.39,1294084800,15.63,1294034400,33.29,1294099200,2011-01-03,
1294120800,Partly cloudy throughout the day.,partly-cloudy-day,1294147170,1294180422,0.02,0.0,0.0,,0.0,,26.27,1294146000,12.1,1294232400,17.27,1294146000,8.27,1294214400,14.96,0.69,1016.42,6.68,17.54,1294153200,266,0.22,2,1294164000,9.993,16.09,1294203600,32.36,1294120800,8.47,1294196400,28.87,1294120800,2011-01-04,
1294207200,Mostly cloudy throughout the day.,partly-cloudy-day,1294233567,1294266878,0.06,0.0,0.0,,0.0,,30.81,1294275600,24.76,1294322400,27.23,1294275600,15.98,1294318800,13.7,0.69,1014.34,4.19,12.07,1294290000,208,0.65,1,1294250400,9.829,12.1,1294232400,31.72,1294282800,8.27,1294214400,27.56,1294279200,2011-01-05,
1294293600,Foggy in the morning.,partly-cloudy-day,1294319961,1294353336,0.09,0.0,0.0,,0.0,,28.14,1294344000,17.51,1294408800,19.2,1294344000,9.15,1294408800,14.76,0.65,1005.55,7.35,17.39,1294347600,301,0.73,1,1294336800,8.691,19.47,1294376400,29.39,1294293600,10.5,1294376400,22.65,1294293600,2011-01-06,
1294380000,Mostly cloudy throughout the day.,cloudy,1294406354,1294439795,0.12,0.0,0.0,,0.0,,22.12,1294426800,10.15,1294480800,12.23,1294426800,-2.4,1294477200,9.46,0.67,999.1,7.04,16.35,1294430400,296,0.95,1,1294423200,7.793,14.76,1294462800,22.12,1294426800,3.31,1294462800,12.91,1294390800,2011-01-07,
1294466400,Partly cloudy throughout the day.,partly-cloudy-day,1294492744,1294526255,0.15,0.0,0.0,,0.0,,24.04,1294520400,11.52,1294578000,13.91,1294524000,6.33,1294570800,7.31,0.66,1010.41,8.83,19.55,1294509600,309,0.3,2,1294509600,9.758,10.15,1294480800,24.04,1294520400,-2.4,1294477200,13.91,1294524000,2011-01-08,
1294552800,Partly cloudy throughout the day.,partly-cloudy-day,1294579131,1294612717,0.18,0.0,0.0,,0.0,,30.38,1294603200,21.24,1294668000,30.38,1294603200,21.24,1294668000,10.44,0.64,1026.56,2.24,7.51,1294552800,283,0.31,2,1294596000,9.984,11.52,1294578000,30.38,1294603200,6.33,1294570800,30.38,1294603200,2011-01-09,
1294639200,Mostly cloudy throughout the day.,partly-cloudy-day,1294665517,1294699180,0.21,0.0,0.0,,0.0,,32.18,1294686000,23.86,1294747200,27.1,1294686000,18.41,1294743600,15.84,0.65,1029.4,3.82,10.94,1294722000,102,0.78,2,1294682400,9.924,21.24,1294668000,32.18,1294686000,20.04,1294722000,27.1,1294686000,2011-01-10,
